"pref_code","pref_name","year","total_count","population","count_per_100k"
"39","高知県",2019,22206,698000,3181.37535816619
"40","福岡県",2019,209471,5104000,4104.05564263323
"41","佐賀県",2019,19544,815000,2398.03680981595
"42","長崎県",2019,52653,1327000,3967.82215523738
"43","熊本県",2019,57663,1748000,3298.79862700229
"44","大分県",2019,42961,1135000,3785.11013215859
"45","宮崎県",2019,34106,1073000,3178.56477166822
"46","鹿児島県",2019,57766,1602000,3605.86766541823
"47","沖縄県",2019,48020,1453000,3304.88644184446
"01","北海道",2020,192629,5225000,3686.67942583732
"02","青森県",2020,59786,1238000,4829.24071082391
"03","岩手県",2020,50777,1211000,4192.98100743187
"04","宮城県",2020,97712,2302000,4244.65682015639
"05","秋田県",2020,46941,960000,4889.6875
"06","山形県",2020,34289,1068000,3210.58052434457
"07","福島県",2020,59417,1833000,3241.51663938898
"08","茨城県",2020,89418,2867000,3118.86989884897
"09","栃木県",2020,67731,1933000,3503.9317123642
"10","群馬県",2020,66989,1939000,3454.82207323363
"11","埼玉県",2020,177836,7345000,2421.18447923758
"12","千葉県",2020,173132,6284000,2755.1241247613
"13","東京都",2020,486126,14048000,3460.46412300683
"14","神奈川県",2020,286125,9237000,3097.59662227996
"15","新潟県",2020,80224,2201000,3644.88868696047
"16","富山県",2020,39239,1035000,3791.2077294686
"17","石川県",2020,38319,1133000,3382.08296557811
"18","福井県",2020,24158,767000,3149.6740547588
"19","山梨県",2020,24830,810000,3065.43209876543
"20","長野県",2020,71562,2048000,3494.23828125
"21","岐阜県",2020,71965,1979000,3636.43254168772
"22","静岡県",2020,144728,3633000,3983.70492705753
"23","愛知県",2020,215402,7542000,2856.03288252453
"24","三重県",2020,53892,1770000,3044.74576271186
"25","滋賀県",2020,42675,1414000,3018.03394625177
"26","京都府",2020,87165,2578000,3381.1093871218
"27","大阪府",2020,305192,8838000,3453.17945236479
"28","兵庫県",2020,167669,5465000,3068.05123513266
"29","奈良県",2020,54993,1324000,4153.5498489426
"30","和歌山県",2020,32646,923000,3536.94474539545
"31","鳥取県",2020,21402,553000,3870.16274864376
"32","島根県",2020,26514,671000,3951.41579731744
"33","岡山県",2020,58775,1888000,3113.08262711864
"34","広島県",2020,106542,2800000,3805.07142857143
"35","山口県",2020,37323,1342000,2781.14754098361
"36","徳島県",2020,29884,720000,4150.55555555556
"37","香川県",2020,30589,950000,3219.8947368421
"38","愛媛県",2020,48411,1335000,3626.29213483146
"39","高知県",2020,19214,692000,2776.58959537572
"40","福岡県",2020,199082,5135000,3876.96202531646
"41","佐賀県",2020,18996,811000,2342.2934648582
"42","長崎県",2020,51687,1312000,3939.55792682927
"43","熊本県",2020,57102,1738000,3285.50057537399
"44","大分県",2020,40504,1124000,3603.55871886121
"45","宮崎県",2020,37961,1070000,3547.75700934579
"46","鹿児島県",2020,57708,1588000,3634.00503778338
"47","沖縄県",2020,42273,1467000,2881.59509202454
"01","北海道",2021,188941,5183000,3645.39841790469
"02","青森県",2021,57160,1221000,4681.40868140868
"03","岩手県",2021,50130,1196000,4191.47157190635
"04","宮城県",2021,98313,2290000,4293.14410480349
"05","秋田県",2021,41208,945000,4360.63492063492
"06","山形県",2021,32498,1055000,3080.37914691943
"07","福島県",2021,59590,1812000,3288.63134657837
"08","茨城県",2021,90890,2852000,3186.88639551192
"09","栃木県",2021,68312,1921000,3556.06454971369
"10","群馬県",2021,66775,1927000,3465.23092890503
"11","埼玉県",2021,177183,7340000,2413.93732970027
"12","千葉県",2021,177828,6275000,2833.91235059761
"13","東京都",2021,493910,14010000,3525.41042112777
"14","神奈川県",2021,283393,9236000,3068.3521004764
"15","新潟県",2021,78286,2177000,3596.04960955443
"16","富山県",2021,36791,1025000,3589.36585365854
"17","石川県",2021,39912,1125000,3547.73333333333
"18","福井県",2021,24846,760000,3269.21052631579
"19","山梨県",2021,23251,805000,2888.32298136646
"20","長野県",2021,69120,2033000,3399.90162321692
"21","岐阜県",2021,67118,1961000,3422.64150943396
"22","静岡県",2021,134212,3608000,3719.84478935698
"23","愛知県",2021,208653,7517000,2775.74830384462
"24","三重県",2021,54832,1756000,3122.55125284738
"25","滋賀県",2021,43795,1411000,3103.82707299787
"26","京都府",2021,93570,2561000,3653.65091761031
"27","大阪府",2021,300178,8806000,3408.78946173064
"28","兵庫県",2021,166537,5432000,3065.85051546392
"29","奈良県",2021,54738,1315000,4162.5855513308
"30","和歌山県",2021,33614,914000,3677.68052516411
"31","鳥取県",2021,20964,549000,3818.57923497268
"32","島根県",2021,24728,665000,3718.4962406015
"33","岡山県",2021,64007,1876000,3411.88699360341
"34","広島県",2021,102083,2780000,3672.05035971223
"35","山口県",2021,37405,1328000,2816.64156626506
"36","徳島県",2021,29933,712000,4204.07303370787
"37","香川県",2021,30478,942000,3235.45647558386
"38","愛媛県",2021,50814,1321000,3846.63133989402
"39","高知県",2021,20008,684000,2925.14619883041
"40","福岡県",2021,195225,5124000,3810.01170960187
"41","佐賀県",2021,20354,806000,2525.31017369727
"42","長崎県",2021,48201,1297000,3716.34541249036
"43","熊本県",2021,56895,1728000,3292.53472222222
"44","大分県",2021,38639,1114000,3468.49192100539
"45","宮崎県",2021,34993,1061000,3298.11498586239
"46","鹿児島県",2021,56753,1576000,3601.07868020305
"47","沖縄県",2021,43294,1468000,2949.1825613079
"01","北海道",2022,190111,5140000,3698.65758754864
"02","青森県",2022,55841,1204000,4637.95681063123
"03","岩手県",2022,48746,1181000,4127.51905165114
"04","宮城県",2022,98663,2280000,4327.32456140351
"05","秋田県",2022,39367,930000,4233.01075268817
"06","山形県",2022,33427,1041000,3211.04707012488
"07","福島県",2022,60862,1790000,3400.11173184358
"08","茨城県",2022,97151,2840000,3420.80985915493
"09","栃木県",2022,69501,1909000,3640.70193818753
"10","群馬県",2022,66192,1913000,3460.1150026137
"11","埼玉県",2022,171044,7337000,2331.25255554041
"12","千葉県",2022,170804,6266000,2725.88573252474
"13","東京都",2022,495139,14038000,3527.13349479983
"14","神奈川県",2022,285083,9232000,3087.98743500867
"15","新潟県",2022,75747,2153000,3518.20715281003
"16","富山県",2022,35101,1017000,3451.42576204523
"17","石川県",2022,41310,1118000,3694.99105545617
"18","福井県",2022,21961,753000,2916.46746347942
"19","山梨県",2022,20659,802000,2575.93516209476
"20","長野県",2022,67604,2020000,3346.73267326733
"21","岐阜県",2022,67526,1946000,3469.98972250771
"22","静岡県",2022,134773,3582000,3762.50697934115
"23","愛知県",2022,210329,7495000,2806.25750500334
"24","三重県",2022,52430,1742000,3009.7588978186
"25","滋賀県",2022,44161,1409000,3134.20865862314
"26","京都府",2022,87654,2550000,3437.41176470588
"27","大阪府",2022,296126,8782000,3371.96538373947
"28","兵庫県",2022,162582,5402000,3009.66308774528
"29","奈良県",2022,51574,1306000,3949.0045941807
"30","和歌山県",2022,31661,903000,3506.2015503876
"31","鳥取県",2022,21433,544000,3939.88970588235
"32","島根県",2022,23833,658000,3622.03647416413
"33","岡山県",2022,59432,1862000,3191.83673469388
"34","広島県",2022,100340,2760000,3635.50724637681
"35","山口県",2022,36770,1313000,2800.4569687738
"36","徳島県",2022,27697,704000,3934.23295454545
"37","香川県",2022,28733,934000,3076.33832976445
"38","愛媛県",2022,46519,1306000,3561.94486983155
"39","高知県",2022,19541,676000,2890.68047337278
"40","福岡県",2022,196751,5116000,3845.79749804535
"41","佐賀県",2022,20783,801000,2594.63171036205
"42","長崎県",2022,46928,1283000,3657.6773187841
"43","熊本県",2022,56014,1718000,3260.4190919674
"44","大分県",2022,40302,1107000,3640.65040650407
"45","宮崎県",2022,37872,1052000,3600
"46","鹿児島県",2022,55278,1563000,3536.66026871401
"47","沖縄県",2022,43073,1468000,2934.1280653951
"01","北海道",2023,189083,5092000,3713.33464257659
"02","青森県",2023,52962,1184000,4473.14189189189
"03","岩手県",2023,51316,1163000,4412.38177128117
"04","宮城県",2023,98007,2264000,4328.93109540636
"05","秋田県",2023,41408,914000,4530.41575492341
"06","山形県",2023,30611,1026000,2983.52826510721
"07","福島県",2023,60400,1767000,3418.22297679683
"08","茨城県",2023,95911,2825000,3395.0796460177
"09","栃木県",2023,71202,1897000,3753.40010542963
"10","群馬県",2023,68281,1902000,3589.95793901157
"11","埼玉県",2023,167991,7331000,2291.51548219888
"12","千葉県",2023,175237,6257000,2800.65526610197
"13","東京都",2023,498943,14086000,3542.11983529746
"14","神奈川県",2023,283566,9229000,3072.55390616535
"15","新潟県",2023,80567,2126000,3789.60489181562
"16","富山県",2023,37455,1007000,3719.46375372393
"17","石川県",2023,37677,1109000,3397.38503155996
"18","福井県",2023,19870,744000,2670.69892473118
"19","山梨県",2023,20196,796000,2537.18592964824
"20","長野県",2023,67842,2004000,3385.32934131737
"21","岐阜県",2023,69434,1931000,3595.75349559814
"22","静岡県",2023,136459,3555000,3838.50914205345
"23","愛知県",2023,213390,7477000,2853.95211983416
"24","三重県",2023,54242,1727000,3140.82223508975
"25","滋賀県",2023,45279,1407000,3218.1236673774
"26","京都府",2023,91442,2535000,3607.17948717949
"27","大阪府",2023,304832,8763000,3478.62604131005
"28","兵庫県",2023,156926,5370000,2922.27188081937
"29","奈良県",2023,52944,1296000,4085.18518518519
"30","和歌山県",2023,31392,892000,3519.28251121076
"31","鳥取県",2023,25047,537000,4664.24581005587
"32","島根県",2023,23011,650000,3540.15384615385
"33","岡山県",2023,60465,1847000,3273.68706009746
"34","広島県",2023,106142,2738000,3876.62527392257
"35","山口県",2023,40555,1298000,3124.42218798151
"36","徳島県",2023,28997,695000,4172.23021582734
"37","香川県",2023,29283,926000,3162.31101511879
"38","愛媛県",2023,46139,1291000,3573.89620449264
"39","高知県",2023,21460,666000,3222.22222222222
"40","福岡県",2023,205673,5103000,4030.43307858123
"41","佐賀県",2023,20905,795000,2629.55974842767
"42","長崎県",2023,49952,1267000,3942.54143646409
"43","熊本県",2023,62855,1709000,3677.88180222352
"44","大分県",2023,42008,1096000,3832.84671532847
"45","宮崎県",2023,37706,1042000,3618.61804222649
"46","鹿児島県",2023,52247,1549000,3372.95029051001
"47","沖縄県",2023,44765,1468000,3049.38692098093
